"date","ON","PEI","QC","SK","AB","BC","MB","NB","NS","TR","INT"
2020-09-01,119.305067218201,6.22461220268873,18.6738366080662,2.59358841778697,46.6845915201655,11.9305067218201,3.63102378490176,22.304860392968,264.027300930714,6.22461220268873,208.133333333333
2020-09-02,121.305067218201,6.22461220268873,18.6738366080662,2.59358841778697,46.6845915201655,11.9305067218201,3.63102378490176,22.304860392968,267.027300930714,6.22461220268873,208.133333333333
2020-09-03,121.305067218201,7.22461220268873,18.6738366080662,2.59358841778697,46.6845915201655,11.9305067218201,3.63102378490176,22.304860392968,271.027300930714,6.22461220268873,208.133333333333
2020-09-04,120.305067218201,6.22461220268873,18.6738366080662,2.59358841778697,46.6845915201655,12.9305067218201,3.63102378490176,23.304860392968,275.027300930714,6.22461220268873,208.133333333333
2020-09-05,120.305067218201,7.22461220268873,18.6738366080662,2.59358841778697,47.6845915201655,11.9305067218201,3.63102378490176,23.304860392968,274.027300930714,6.22461220268873,208.133333333333
2020-09-06,121.305067218201,6.22461220268873,18.6738366080662,2.59358841778697,50.6845915201655,12.9305067218201,3.63102378490176,23.304860392968,273.027300930714,6.22461220268873,208.133333333333
2020-09-07,123.305067218201,6.22461220268873,18.6738366080662,2.59358841778697,46.6845915201655,11.9305067218201,3.63102378490176,22.304860392968,274.027300930714,11.2246122026887,209.133333333333
2020-09-08,121.305067218201,6.22461220268873,18.6738366080662,2.59358841778697,46.6845915201655,11.9305067218201,3.63102378490176,22.304860392968,269.027300930714,6.22461220268873,209.133333333333
2020-09-09,123.305067218201,6.22461220268873,18.6738366080662,2.59358841778697,47.6845915201655,11.9305067218201,3.63102378490176,22.304860392968,272.027300930714,6.22461220268873,208.133333333333
2020-09-10,124.305067218201,7.22461220268873,18.6738366080662,2.59358841778697,47.6845915201655,11.9305067218201,3.63102378490176,23.304860392968,278.027300930714,7.22461220268873,208.133333333333
2020-09-11,121.305067218201,8.22461220268873,19.6738366080662,2.59358841778697,48.6845915201655,11.9305067218201,3.63102378490176,22.304860392968,285.027300930714,6.22461220268873,208.133333333333
2020-09-12,123.305067218201,6.22461220268873,18.6738366080662,2.59358841778697,48.6845915201655,12.9305067218201,3.63102378490176,22.304860392968,272.027300930714,6.22461220268873,209.133333333333
2020-09-13,127.305067218201,6.22461220268873,19.6738366080662,2.59358841778697,47.6845915201655,11.9305067218201,3.63102378490176,22.304860392968,271.027300930714,6.22461220268873,209.133333333333
2020-09-14,123.305067218201,6.22461220268873,20.6738366080662,2.59358841778697,47.6845915201655,11.9305067218201,3.63102378490176,30.304860392968,282.027300930714,6.22461220268873,208.133333333333
2020-09-15,126.305067218201,6.22461220268873,20.6738366080662,3.59358841778697,47.6845915201655,12.9305067218201,3.63102378490176,22.304860392968,278.027300930714,6.22461220268873,208.133333333333
2020-09-16,124.305067218201,6.22461220268873,18.6738366080662,2.59358841778697,48.6845915201655,11.9305067218201,3.63102378490176,22.304860392968,269.027300930714,6.22461220268873,209.133333333333
2020-09-17,124.305067218201,6.22461220268873,22.6738366080662,3.59358841778697,49.6845915201655,11.9305067218201,3.63102378490176,23.304860392968,296.027300930714,7.22461220268873,208.133333333333
2020-09-18,132.305067218201,6.22461220268873,20.6738366080662,2.59358841778697,51.6845915201655,12.9305067218201,5.63102378490176,25.304860392968,288.027300930714,6.22461220268873,208.133333333333
2020-09-19,128.305067218201,9.22461220268873,20.6738366080662,2.59358841778697,47.6845915201655,11.9305067218201,3.63102378490176,22.304860392968,287.027300930714,6.22461220268873,208.133333333333
2020-09-20,130.305067218201,6.22461220268873,21.6738366080662,4.59358841778697,50.6845915201655,13.9305067218201,4.63102378490176,24.304860392968,287.027300930714,7.22461220268873,208.133333333333
2020-09-21,129.305067218201,7.22461220268873,23.6738366080662,2.59358841778697,51.6845915201655,12.9305067218201,3.63102378490176,26.304860392968,293.027300930714,6.22461220268873,209.133333333333
2020-09-22,128.305067218201,6.22461220268873,19.6738366080662,2.59358841778697,48.6845915201655,13.9305067218201,3.63102378490176,22.304860392968,272.027300930714,7.22461220268873,208.133333333333
2020-09-23,133.305067218201,6.22461220268873,18.6738366080662,2.59358841778697,53.6845915201655,13.9305067218201,3.63102378490176,23.304860392968,270.027300930714,6.22461220268873,209.133333333333
2020-09-24,134.305067218201,6.22461220268873,18.6738366080662,2.59358841778697,55.6845915201655,13.9305067218201,3.63102378490176,28.304860392968,322.027300930714,7.22461220268873,209.133333333333
2020-09-25,137.305067218201,7.22461220268873,22.6738366080662,2.59358841778697,53.6845915201655,13.9305067218201,5.63102378490176,22.304860392968,291.027300930714,6.22461220268873,208.133333333333
2020-09-26,135.305067218201,7.22461220268873,18.6738366080662,2.59358841778697,48.6845915201655,12.9305067218201,3.63102378490176,25.304860392968,294.027300930714,7.22461220268873,208.133333333333
2020-09-27,128.305067218201,6.22461220268873,22.6738366080662,2.59358841778697,48.6845915201655,11.9305067218201,3.63102378490176,25.304860392968,285.027300930714,6.22461220268873,209.133333333333
2020-09-28,134.305067218201,7.22461220268873,20.6738366080662,2.59358841778697,52.6845915201655,14.9305067218201,3.63102378490176,27.304860392968,297.027300930714,6.22461220268873,209.133333333333
2020-09-29,128.305067218201,6.22461220268873,21.6738366080662,2.59358841778697,52.6845915201655,11.9305067218201,4.63102378490176,23.304860392968,284.027300930714,6.22461220268873,210.133333333333
2020-09-30,143.305067218201,6.22461220268873,18.6738366080662,3.59358841778697,61.6845915201655,14.9305067218201,4.63102378490176,24.304860392968,289.027300930714,7.22461220268873,208.133333333333
